Date,Time,Lat,Long,Alt,DIN2,Throughput_Mbps,SSID,WIFI,INT,Registration
16/03/2026,15:30:05,47.61276,-52.74069,151.0,1.0,,SKT-4214,1.0,1.0,GPNV
16/03/2026,15:30:13,47.61276,-52.74069,152.0,1.0,,SKT-4214,1.0,1.0,GPNV
16/03/2026,15:30:24,,,,,,SKT-4214,1.0,1.0,GPNV
16/03/2026,15:30:31,47.61276,-52.7407,152.0,1.0,,SKT-4214,1.0,1.0,GPNV
16/03/2026,15:30:38,47.61276,-52.7407,153.0,1.0,,SKT-4214,1.0,1.0,GPNV
16/03/2026,15:30:47,47.61276,-52.7407,153.0,1.0,,SKT-4214,1.0,1.0,GPNV
16/03/2026,15:30:56,47.61276,-52.7407,153.0,1.0,,SKT-4214,1.0,1.0,GPNV
16/03/2026,15:31:04,47.61276,-52.7407,154.0,1.0,,SKT-4214,1.0,1.0,GPNV
16/03/2026,15:31:18,,,,,,SKT-4214,1.0,1.0,GPNV
16/03/2026,15:31:38,,,,,,SKT-4214,1.0,0.0,GPNV
16/03/2026,15:31:48,,,,,,SKT-4214,0.0,0.0,GPNV
16/03/2026,16:02:58,47.61277,-52.74068,150.0,1,,SKT-4214,1.0,1.0,GPNV
16/03/2026,16:03:06,47.61277,-52.74068,149.0,1,,SKT-4214,1.0,1.0,GPNV
16/03/2026,16:03:14,47.61277,-52.74068,149.0,1,,SKT-4214,1.0,1.0,GPNV
16/03/2026,16:03:22,47.61277,-52.74068,149.0,1,,SKT-4214,1.0,1.0,GPNV
16/03/2026,16:03:30,47.61277,-52.74068,149.0,1,,SKT-4214,1.0,1.0,GPNV
16/03/2026,16:03:38,47.61277,-52.74068,150.0,1,,SKT-4214,1.0,1.0,GPNV
16/03/2026,16:03:47,47.61277,-52.74068,150.0,1,,SKT-4214,1.0,1.0,GPNV
16/03/2026,16:03:55,47.61276,-52.74068,150.0,1,,SKT-4214,1.0,1.0,GPNV
16/03/2026,16:04:02,47.61276,-52.74068,150.0,1,,SKT-4214,1.0,1.0,GPNV
16/03/2026,16:04:09,47.61276,-52.74068,151.0,1,,SKT-4214,1.0,1.0,GPNV
