Date,Time,Latitude,Longitude,Altitude,Discrete2,SSID,Wifi,Int,Registration
01/07/2025,12:00:00,49.88,-119.45,340,1,SKT-4016,1,1,GXNL
01/07/2025,12:05:00,49.88,-119.45,341,1,SKT-4016,1,1,GXNL
01/07/2025,12:10:00,49.881,-119.45,345,1,SKT-4016,1,1,GXNL
01/07/2025,12:15:00,49.881,-119.451,346,1,SKT-4016,1,1,GXNL
01/07/2025,12:20:00,49.882,-119.452,350,1,SKT-4016,1,1,GXNL
01/07/2025,12:25:00,49.882,-119.453,355,0,SKT-4016,1,1,GXNL
01/07/2025,12:30:00,49.882,-119.454,360,0,SKT-4016,1,0,GXNL
01/07/2025,12:35:00,49.883,-119.455,365,1,SKT-4074,1,1,C-FABC
01/07/2025,12:40:00,49.883,-119.456,366,1,SKT-4074,1,1,C-FABC
01/07/2025,12:45:00,49.884,-119.456,366,1,SKT-4074,1,1,C-FABC
01/07/2025,12:50:00,49.884,-119.456,368,1,SKT-4074,0,0,C-FABC
01/07/2025,12:55:00,49.885,-119.457,370,1,SKT-4074,1,1,C-FABC
01/07/2025,13:00:00,49.885,-119.458,372,1,SKT-4074,1,1,C-FABC
01/07/2025,13:05:00,49.886,-119.459,375,1,SKT-4074,1,1,C-FABC
01/07/2025,13:10:00,49.887,-119.460,378,1,SKT-4016,1,0,GXNL
01/07/2025,13:15:00,49.887,-119.461,380,0,SKT-4016,1,1,GXNL
01/07/2025,13:20:00,49.888,-119.462,380,1,SKT-4016,1,1,GXNL
01/07/2025,13:25:00,49.889,-119.463,385,1,SKT-4016,0,0,GXNL
01/07/2025,13:30:00,49.890,-119.464,390,1,SKT-4016,1,1,GXNL
01/07/2025,13:35:00,49.891,-119.465,395,1,SKT-4016,1,1,GXNL
01/07/2025,13:40:00,49.892,-119.466,400,1,SKT-4016,1,1,GXNL
01/07/2025,13:45:00,49.893,-119.467,402,1,SKT-4016,1,1,GXNL
01/07/2025,13:50:00,49.894,-119.468,405,1,SKT-4016,1,1,GXNL
01/07/2025,13:55:00,49.895,-119.469,410,1,SKT-4016,1,1,GXNL
